,City,Latitude,Longitude,ID,Temperature,Humidity,Cloudiness,Wind Speed (mph)
155,aquiraz,-3.9014,-38.3911,3407407,77,88,20,3.44
156,kisanga,-7.4362,37.7034,157014,76.69,87,50,3.71
157,acajutla,13.5928,-89.8275,3587498,73.99,80,65,5.82
158,lloydminster,53.2835,-110.0016,6058024,24.8,46,90,4.61
159,port alfred,-33.5906,26.891,964432,68.18,76,1,21.25
160,kibre mengist,5.8833,38.9833,333103,66.42,75,99,1.83
161,santa cruz,-17.8,-63.1667,3904906,75.2,94,75,5.75
162,cayenne,4.9333,-52.3333,3382160,76.8,100,90,6.91
163,bethel,41.3712,-73.414,5282297,36.68,64,37,1.99
164,salinas,36.6777,-121.6555,5391295,50.56,76,90,9.22
165,zachagansk,,,,,,,
166,nikolskoye,59.7035,30.7861,546105,42.03,87,20,8.95
167,sabang,5.8933,95.3214,1214026,83.73,72,98,18.43
168,lagoa,39.05,-27.9833,3372964,56.88,81,10,37.58
169,megion,61.0296,76.1136,1499053,42.8,39,0,15.66
170,kuliyapitiya,7.4688,80.0401,1238427,84.2,74,40,6.91
171,mahebourg,-20.4081,57.7,934322,75.2,88,75,3.44
172,sentyabrskiy,,,,,,,
173,barentsburg,,,,,,,
174,torbay,47.6666,-52.7314,6167817,39.07,93,90,17.27
175,lulea,65.5842,22.1547,604490,32,93,90,13.8
176,sarakhs,36.5449,61.1577,1159716,73.4,17,0,9.22
177,qaanaaq,77.484,-69.3632,3831208,18.05,94,100,8.86
178,barrow,71.2906,-156.7887,5880054,19.4,86,1,5.75
179,vanimo,-2.6741,141.3028,2084442,83.1,79,100,6.71
180,provideniya,64.3833,-173.3,4031574,39.2,56,0,11.18
181,ewa beach,21.3156,-158.0072,5855051,75.65,57,1,8.05
182,saint-philippe,-21.3585,55.7679,935215,76.32,73,40,13.8
183,esperance,-33.8667,121.9,2071860,69.8,49,75,8.05
184,tshikapa,-6.4167,20.8,204953,72.95,90,81,2.86
185,mutis,6.2262,-77.4044,3689325,78.08,85,93,3.06
186,strezhevoy,60.7333,77.5889,1490796,42.8,39,0,15.66
187,sakaiminato,35.55,133.2333,1853174,63.32,67,75,17.27
188,turbat,26.0023,63.044,1163054,98.6,10,2,3.24
189,east london,-33.0153,27.9116,1006984,60.8,88,0,5.75
190,kruisfontein,-34.0033,24.7314,986717,61.61,78,0,6.46
191,lebu,-37.6167,-73.65,3883457,49.8,76,33,3.15
192,vao,-22.6667,167.4833,2137773,74.86,69,86,12.33
193,saskylakh,71.9167,114.0833,2017155,13.42,87,92,3.71
194,ngukurr,,,,,,,
195,puerto del rosario,28.5004,-13.8627,2512186,64.4,72,40,4.61
196,tuatapere,-46.1333,167.6833,2180815,52,94,100,3
197,kuching,1.55,110.3333,1735634,89.31,66,40,4.61
198,port elizabeth,-33.918,25.5701,964420,62.6,88,0,12.66
199,qasigiannguit,68.8193,-51.1922,3420768,28.4,69,29,3.44
200,libreville,0.3925,9.4537,2399697,74.44,90,100,7.74
201,nizhneyansk,,,,,,,
202,passagem franca,-6.1797,-43.7836,3392942,71.51,98,100,2.37
203,taltal,-25.4,-70.4833,3870243,61.45,82,48,1.54
204,almaznyy,48.0448,40.045,582447,53.6,82,20,6.71
205,belaya gora,68.5333,146.4167,2126785,21.85,71,56,5.95
206,tamandare,-8.7597,-35.1047,3386931,76.73,86,15,1.16
207,port blair,11.6667,92.75,1259385,87.17,55,90,3.76
208,umm kaddadah,13.6017,26.6876,364933,85.98,15,74,6.58
209,susanville,40.4163,-120.653,5572400,47.35,35,1,6.91
210,nanortalik,60.1432,-45.2371,3421765,34.12,88,38,5.39
211,salvador,13.8333,-88.9167,3585968,76.24,100,20,3.44
212,kisarawe,-6.9,39.0667,156996,78.8,94,40,8.05
213,chuy,-33.6971,-53.4616,3443061,64.74,82,99,9.73
214,laguna,38.421,-121.4238,5364271,50.67,81,1,9.22
215,babu,24.4167,111.5167,1817858,90.07,53,19,2.46
216,dosso,13.049,3.1937,2445488,84.81,15,54,6.46
